8E MOMA ERROR LIST,,,,,,,,
,,,,,,,,
Fault name,Short Description,Long Description, Current action ,TM current status,Curent cassette location,,,
GoalError,2000,Robot is not at correct goal,,TM has not started,,Done,"applicationfaultset GoalError ""2000"" ""Robot is not at correct goal"" 1 1",
,,,,,,,,
InvalidPayload,0,Payload Timeout,,Home TM if TM at standby pos,,,"applicationfaultset InvalidPayload ""0"" ""Payload Timeout"" 1 1",
,1001,Wrong payload set,,,,,"applicationfaultset InvalidPayload ""1001"" ""Wrong payload set"" 1 1",
,JobID,Cant match current goal with payload goal,,Home TM if TM at standby pos,,,,
,JobID,Cant match goal name with rack type,,Home TM if TM at standby pos,,,,
,JobID,Slot 1 Occupied. Unable to PickUp to Slot 1.      ,to pick cassette from Tool to Moma,Home TM if TM at standby pos,Tool,,,
,JobID,Slot 1 Empty. Unable to Dropoff from Slot 1.,to drop cassette from Moma to Tool,Home TM if TM at standby pos,Moma,,,
,,,,,,,,
LandmarkError,JobID,Unable to locate landmark,,TM at Home pos,,,"applicationfaultset LandmarkError ""825"" ""Unable to locate landmark "" 1 1",
,JobID,Cassette on Table Present ,,,,,"applicationfaultset LandmarkError ""125"" ""Cassette on Table Present "" 1 1",
,JobID,Cassette on Table Not Present,,,,,"applicationfaultset LandmarkError ""825"" ""Cassette on Table Not Present"" 1 1",
,JobID,Cassette Present , to drop cassette from Moma to Tool/Output Rack,TM at Home pos,Moma,,"applicationfaultset LandmarkError ""825"" ""Cassette Present"" 1 1",
,JobID,Cassette Not Present, to pick cassette from ERack/Tool to Moma,TM at Home pos,Tool,,"applicationfaultset LandmarkError ""825"" ""Cassette Not Present"" 1 1",
,JobID,Machine Running,,TM at Home pos,,,"applicationfaultset LandmarkError ""825"" ""Machine Running"" 1 1",
,,,,,,,,
PickDropError,JobID,"Pick Fail, attempt to Pick but sensor not present",while picking cassette to Moma,TM during movement,TM holding cassette,Done,"applicationfaultset PickDropError ""825"" ""Pick Fail, attempt to Pick but sensor not present"" 1 1",Pick Fail
,JobID,"Drop Fail, attempt to drop but sensor is present",while dropping cassette from Moma ,TM during movement,TM holding cassette,Done,"applicationfaultset PickDropError ""825"" ""Drop Fail, attempt to drop but sensor is present"" 1 1",Drop Fail
,,,,,,,,
PlacementError,JobID,Placement Error on Robot Slot 1,,,,Done,"applicationfaultset LandmarkError ""825"" ""Placement Error on Robot Slot 1"" 1 1",
,,,,,,,,
RobotError,JobID,Robotic arm safety error at xxxx,while picking or dropping,Any pos,Tool/Moma/TM,Done,,
,9009,Lot Pod is not detected on Robot Arm,while picking or dropping,Any pos,,Done,,
,JobID,E-Stop Pressed,to pick/drop,TM at home pos,,Done,,
,,,,,,,,
BufferError,,THE REJECT RACK IS FULL. PLEASE CLEAR THE RACK.,,,,Done,"applicationfaultset BatteryLow ""8888"" ""Low battery"" 1 1",
,,THE OUTPUT RACK IS FULL. PLEASE CLEAR THE RACK.,,,,,,
,,,,,,,,
BatteryLow,8888,Low battery,,,,Done,,
